alias	canonical_path	source_repository	disposition	relationship	notes
10-backward-global/strict_layer_backward_denominator_decimal_interface.md	research/exact-lift/backward/backward-denominator-decimal-interface.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
10-backward-global/strict_layer_backward_global_obstruction_campaign.md	research/exact-lift/backward/backward-global-obstruction.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
10-backward-global/strict_layer_backward_global_witness_gluing_campaign.md	research/exact-lift/backward/backward-global-witness-gluing.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_error_closure_campaign.md	research/denominator-structure/dd-error-closure.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_independence_audit.md	research/denominator-structure/dd-independence-audit.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_orientation_recovery_campaign.md	research/denominator-structure/dd-orientation-recovery.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_oriented_tail_window_campaign.md	research/denominator-structure/dd-oriented-tail-window.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_post_deflation_campaign.md	research/denominator-structure/dd-post-deflation.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_source_phase_information_audit.md	research/denominator-structure/dd-source-information-audit.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_DD_supply_phase_synchronization_campaign.md	research/denominator-structure/dd-supply-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_moving_core_square_spacing_campaign.md	research/denominator-structure/moving-core-square-spacing.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
20-DD/strict_layer_post_DD_consolidation_A1_frontier.md	research/denominator-structure/post-dd-consolidation-a1-frontier.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_double_euclidean_smith_gcd_terminal_campaign.md	research/a1/forward/a1-double-euclidean-smith-gcd-terminal.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_double_euclidean_word_smith_terminal_campaign.md	research/a1/forward/a1-double-euclidean-word-smith-terminal.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_exact_mantissa_defect_quotient_campaign.md	research/a1/forward/a1-exact-mantissa-defect-quotient.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_flat_locus_structural_elimination_campaign.md	research/a1/forward/a1-flat-locus-structural-elimination.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_generic_primitive_defect_synchronization_campaign.md	research/a1/forward/a1-generic-primitive-defect-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_iterated_smith_coprime_radial_exclusion_campaign.md	research/a1/forward/a1-iterated-smith-coprime-radial-exclusion.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_moving_core_decimal_translation_global_campaign.md	research/a1/forward/a1-moving-core-decimal-translation-global.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_moving_profile_coprime_integer_scale_campaign.md	research/a1/forward/a1-moving-profile-coprime-integer-scale.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_primitive_conic_common_U_digit_window_campaign.md	research/a1/forward/a1-primitive-conic-common-u-digit-window.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_smith_reduced_common_U_exclusion_campaign.md	research/a1/forward/a1-smith-reduced-common-u-exclusion.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
30-A1-forward/strict_layer_A1_unified_moving_profile_terminal_campaign.md	research/a1/forward/a1-unified-moving-profile-terminal.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
40-A1-backward/strict_layer_backward_A1_2x5_decimal_synchronization_campaign.md	research/a1/backward/backward-a1-2x5-decimal-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
40-A1-backward/strict_layer_backward_A1_5phase_cut_synchronization_campaign.md	research/a1/backward/backward-a1-5phase-cut-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
40-A1-backward/strict_layer_backward_A1_common_U_pullback_primitive_radial_gluing_campaign.md	research/a1/backward/backward-a1-common-u-pullback-primitive-radial-gluing.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
40-A1-backward/strict_layer_backward_A1_same_cut_norm_excess_campaign.md	research/a1/backward/backward-a1-same-cut-norm-excess.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
40-A1-backward/strict_layer_backward_A1_word_recovery_architecture_campaign.md	research/a1/backward/backward-a1-word-recovery-architecture.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
50-state-and-computation/strict_layer_A1_SRCU_state_after_campaign.md	research/a1/state/a1-srcu-state-after.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
50-state-and-computation/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	research/a1/state/a1-exact-word-state-after-double-euclidean.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
50-state-and-computation/strict_layer_A1_radial_gate_scan_output.txt	research/a1/forward/computations/radial-gate-scan-output.txt	dongxuelian2/strict-layer-proof-research	canonical	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
50-state-and-computation/strict_layer_A1_unified_state_after_long_campaign.md	research/a1/state/a1-unified-state-after-long.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
ARCHIVE_INDEX.tsv	research/archive/strict-layer-proof-research/ARCHIVE_INDEX.tsv	dongxuelian2/strict-layer-proof-research	generated-obsolete	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
EXPORT_NOTES.md	research/archive/strict-layer-proof-research/EXPORT_NOTES.md	dongxuelian2/strict-layer-proof-research	archived	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
MANIFEST.tsv	research/archive/strict-layer-proof-research/MANIFEST.tsv	dongxuelian2/strict-layer-proof-research	generated-obsolete	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
MISSING_ARTIFACTS.md	research/archive/strict-layer-proof-research/00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md	dongxuelian2/strict-layer-proof-research	archived	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
README.md	research/archive/strict-layer-proof-research/README.md	dongxuelian2/strict-layer-proof-research	archived	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_algebraic_denominator_interface.md	research/exact-lift/backward/backward-algebraic-denominator-interface.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_canonical_dependency_skeleton.md	research/exact-lift/backward/backward-canonical-dependency-skeleton.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_canonical_synchronization_quotient.md	research/exact-lift/backward/backward-canonical-synchronization-quotient.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_exact_root_pair_fibre_campaign.md	research/foundations/archive/backward-exact-root-pair-fibre.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_global_obstruction_campaign.md	research/exact-lift/backward/backward-global-obstruction.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_backward_global_witness_gluing_campaign.md	research/exact-lift/backward/backward-global-witness-gluing.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_moving_core_square_spacing_campaign.md	research/denominator-structure/moving-core-square-spacing.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_post_DD_consolidation_A1_frontier.md	research/denominator-structure/post-dd-consolidation-a1-frontier.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_unified_exact_lift_campaign(1).md	research/exact-lift/unified-exact-lift.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/10-strict-layer-core/strict_layer_unified_exact_lift_campaign.md	research/foundations/archive/unified-exact-lift-initial.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/DD-SA_A0-Inert_Coverage_Audit.md	research/denominator-structure/archive/dd-sa-a0-inert-coverage-audit.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/DD-SA_R11-R20_十轮证明归档.md	research/denominator-structure/archive/d-prime-equal-load-firewall.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/DD-SA_R20_residual_tail_D_split_firewall.md	research/denominator-structure/archive/dd-sa-r20-residual-tail-d-split-firewall.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/DD-SA_stage_report_R1-R10.md	research/denominator-structure/archive/dd-sa-r1-r10.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_error_closure_campaign.md	research/denominator-structure/dd-error-closure.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_independence_audit.md	research/denominator-structure/dd-independence-audit.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_orientation_recovery_campaign.md	research/denominator-structure/dd-orientation-recovery.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_oriented_tail_window_campaign.md	research/denominator-structure/dd-oriented-tail-window.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_post_deflation_campaign.md	research/denominator-structure/dd-post-deflation.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_source_phase_information_audit.md	research/denominator-structure/dd-source-information-audit.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/20-DD-complete/strict_layer_DD_supply_phase_synchronization_campaign.md	research/denominator-structure/dd-supply-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_RU_H_first_candidate_excess_campaign.md	research/a1/forward/archive/a1-ru-h-first-candidate-excess.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_SRCU_regression.py	research/archive/strict-layer-proof-research/archive-by-series/30-A1-pre-J2/strict_layer_A1_SRCU_regression.py	dongxuelian2/strict-layer-proof-research	archived	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_SRCU_state_after_campaign.md	research/a1/state/a1-srcu-state-after.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_SRUS_state_after_resonance_transition_campaign.md	research/a1/forward/archive/a1-srus-state-after-resonance-transition.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_double_euclidean_smith_gcd_terminal_campaign.md	research/a1/forward/a1-double-euclidean-smith-gcd-terminal.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_double_euclidean_word_smith_terminal_campaign.md	research/a1/forward/a1-double-euclidean-word-smith-terminal.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_endpoint_quotient_integer_alignment_campaign.md	research/a1/forward/archive/a1-endpoint-quotient-integer-alignment.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_exact_mantissa_defect_quotient_campaign.md	research/a1/forward/a1-exact-mantissa-defect-quotient.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	research/a1/state/a1-exact-word-state-after-double-euclidean.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_flat_locus_structural_elimination_campaign.md	research/a1/forward/a1-flat-locus-structural-elimination.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_generic_primitive_defect_synchronization_campaign.md	research/a1/forward/a1-generic-primitive-defect-synchronization.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_iterated_smith_coprime_radial_exclusion_campaign.md	research/a1/forward/a1-iterated-smith-coprime-radial-exclusion.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
archive-by-series/30-A1-pre-J2/strict_layer_A1_moving_core_decimal_translation_global_campaign.md	research/a1/forward/a1-moving-core-decimal-translation-global.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
