target_relative_path	source_repository	source_repository_url	source_branch	source_HEAD	source_relative_path	git_tracked	source_blob_oid_if_available	raw_sha256	canonical_text_sha256	asset_class	research_layer	research_series	migration_disposition	provenance_note
reports/strict/current_research_status_v3.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	00-foundation/current_research_status_v3.md	TRUE	8471bbecef38f281daf7a30773f069e8c7730d76	c043eb4fd099bd51706c1846d5b51d2187e0dcc0577bef645e7755590186dfd0	20099705089442b7cee87e2340ed23fe86d0046f7cca1b53aa94b57fb8e41528	MATHEMATICAL_STATUS_INDEX	strict	foundation	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer.
reports/strict/proved_results_index_v2.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	00-foundation/proved_results_index_v2.md	TRUE	168193b100ae8d4e0b14b96dd6c507b362685163	fff157e9a04c8bd0a5e7b062e3e1fae659e56c84b3a69a28ed4fd7891487dc98	a103aa10d65ce6ef326f770f477a59317a7f772f9fc4752c795dea0dd1c66f4f	MATHEMATICAL_STATUS_INDEX	strict	foundation	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer.
reports/strict/proved_results_report_v2.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	00-foundation/proved_results_report_v2.md	TRUE	7fdee0b7733ea545c8c1c35d761fb6a9058f4f2f	8c7e9b4b6c458ba4379999c9b729eb4cbdd6afe620c3ec1299130d4b11b05c39	68dbd892a59f28c7a86d2d561f3595f8d52d14672ce20359095a9b7689c16929	MATHEMATICAL_STATUS_INDEX	strict	foundation	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer.
reports/strict/state/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	50-state-and-computation/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md	TRUE	47b6e4a60781996385a5c0648465a5cc186b8425	7d9f2a8e35b2615ca83be7cc2acbd31d4f90586b7dd759736f9262ce69401c7c	7d9f2a8e35b2615ca83be7cc2acbd31d4f90586b7dd759736f9262ce69401c7c	MATHEMATICAL_STATUS_INDEX	strict	other	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer. Exact canonical-text duplicates omitted: strict:archive-by-series/30-A1-pre-J2/strict_layer_A1_exact_word_state_after_double_euclidean_campaign.md.
reports/strict/state/strict_layer_A1_SRCU_state_after_campaign.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	50-state-and-computation/strict_layer_A1_SRCU_state_after_campaign.md	TRUE	a22076881e7ae9e54d8c798214f9ba4eb3059dbe	ba63a4e56fe834703a8b0f0e20e7a3f0f575944efb2fc694c0f6225777996a8a	3443b40f4efc15322e221027a34be8103563885d8790830077c1bf1ac46adc0b	MATHEMATICAL_STATUS_INDEX	strict	other	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer. Exact canonical-text duplicates omitted: strict:archive-by-series/30-A1-pre-J2/strict_layer_A1_SRCU_state_after_campaign.md.
reports/strict/state/strict_layer_A1_unified_state_after_long_campaign.md	strict	https://github.com/dongxuelian2/strict-layer-proof-research.git	main	ff3c28197be0c0f55ad5628a5d76182120e454c1	50-state-and-computation/strict_layer_A1_unified_state_after_long_campaign.md	TRUE	b3451dc245040146abf72f1226b670241eb6063e	94cb7334b1625fc8634a388c83e361cd08e10027cb57d6ec256082712f15bbcb	94cb7334b1625fc8634a388c83e361cd08e10027cb57d6ec256082712f15bbcb	MATHEMATICAL_STATUS_INDEX	strict	other	COPIED_TRACKED	Tracked strict-layer mathematical document retained under the normalized target layer. Exact canonical-text duplicates omitted: strict:archive-by-series/30-A1-pre-J2/strict_layer_A1_unified_state_after_long_campaign.md.
research/critical/archive/foundations/critical_even_edge_2adic_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/foundations/critical_even_edge_2adic_campaign.md	TRUE	5cc13b7472b22a9e06e827db0cfee2265891af0d	9064f5b9888682171915a724721d1f2b46c9870c45e32077443b2436151dda46	9064f5b9888682171915a724721d1f2b46c9870c45e32077443b2436151dda46	MATHEMATICAL_PROOF	critical	foundation	COPIED_TRACKED	Critical foundational campaign retained under the critical archive layer.
research/critical/archive/foundations/finite_cell_transfer_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/foundations/finite_cell_transfer_campaign.md	TRUE	5e0660d86f6ea61dc5ad12ec2f6a06e8495851c6	3b454adea9f128eeee3cc83d944de87b3e930dc2b0a8077f6949e663684c1c70	3b454adea9f128eeee3cc83d944de87b3e930dc2b0a8077f6949e663684c1c70	MATHEMATICAL_PROOF	critical	foundation	COPIED_TRACKED	Critical foundational campaign retained under the critical archive layer.
research/critical/archive/foundations/gaussian_concat_coupling_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/foundations/gaussian_concat_coupling_campaign.md	TRUE	9df2f47f22b0e2847fb2be10789895c2e9a4a1b0	c89f2517d5e3c76194f9ba0ca6d1aacc39f4e6d9f360dc7d437aa378c93149c2	c89f2517d5e3c76194f9ba0ca6d1aacc39f4e6d9f360dc7d437aa378c93149c2	MATHEMATICAL_PROOF	critical	foundation	COPIED_TRACKED	Critical foundational campaign retained under the critical archive layer.
research/critical/archive/foundations/kernel_free_branch_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/foundations/kernel_free_branch_campaign.md	TRUE	b127e5b2f43f41df09325746afd1308725f2058f	7862d6fd941ffd9bec04cc62a3cd40a4eab4529a45f3e2f2a1061dfb6d62c5ff	7862d6fd941ffd9bec04cc62a3cd40a4eab4529a45f3e2f2a1061dfb6d62c5ff	MATHEMATICAL_PROOF	critical	foundation	COPIED_TRACKED	Critical foundational campaign retained under the critical archive layer.
research/critical/frontiers/c2_negative_frontier_20260811.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/frontiers/c2_negative_frontier_20260811.md	TRUE	3c9ef93a8b862127c20c06fb9bc78f27f1efa44d	a4c10f1adbc7965c7998e6d5e0345983593b14fe2a6db2e08c413c831779fa26	a4c10f1adbc7965c7998e6d5e0345983593b14fe2a6db2e08c413c831779fa26	MATHEMATICAL_FRONTIER	critical	frontiers	COPIED_TRACKED	Critical frontier note retained verbatim.
research/critical/frontiers/critical_G_A2_high_phi_Fprimary_minus_P0_frontier_research_20260813.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/frontiers/critical_G_A2_high_phi_Fprimary_minus_P0_frontier_research_20260813.md	FALSE		3ae97ff674384387f5b9a9e4756eefafdd568ecb057553afa57aa8fd1a7186f8	3ae97ff674384387f5b9a9e4756eefafdd568ecb057553afa57aa8fd1a7186f8	MATHEMATICAL_FRONTIER	critical	frontiers	COPIED_LOCAL_IGNORED	Ignored local frontier referenced by README.md and STATUS.md; selected docs/frontiers path is preferred over the exact root duplicate. Exact canonical-text duplicates omitted: critical:critical_G_A2_high_phi_Fprimary_minus_P0_frontier_research_20260813.md.
research/critical/G/critical_G_A1_unit_determinant_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A1_unit_determinant_campaign.md	TRUE	52265d0e224b45b5d9aace4cfbc0ad918eae9f0b	a1dccbb3812f7f678a72370d3471c4459d6c57dd3ed44ca0a64161678d2f0fd0	a1dccbb3812f7f678a72370d3471c4459d6c57dd3ed44ca0a64161678d2f0fd0	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A1_unit_determinant_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A1_unit_determinant_resolution.md	TRUE	b42455b2e4369c204b1b7e4aa99e4f6452d95357	f3572f6426a24f9b923e4acae69eec3e5a229e1e65bebec013660f87fbc06600	f3572f6426a24f9b923e4acae69eec3e5a229e1e65bebec013660f87fbc06600	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_exceptional_binary_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_exceptional_binary_resolution.md	TRUE	043b46ee07a3b79fe89a519a0ca4a73e71f5aa59	4c1b686ea0660311d575de88089e5f078fc78f219c25e9a40a5e1a3239906c25	4c1b686ea0660311d575de88089e5f078fc78f219c25e9a40a5e1a3239906c25	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fplus_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fplus_resolution.md	TRUE	723611441df5dd4a079efd0a1e70b05029250edc	a5df32430964008834843f6a9252ec5ac0ff0677214a3c0634a78219b0d4fed2	a5df32430964008834843f6a9252ec5ac0ff0677214a3c0634a78219b0d4fed2	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_binary_master_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_binary_master_campaign.md	TRUE	5f65b662c667345cfd85bda3decc49170497ca1e	45f86ffece2b3c178cde98e00bc9da7fcf38885b2d1099d9e50c481cdb2ad54b	45f86ffece2b3c178cde98e00bc9da7fcf38885b2d1099d9e50c481cdb2ad54b	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_campaign.md	TRUE	7baccbc8936c3baadc206c4c7a198231563aa65c	2c61e0c356257158eefdfad608a555ed9abc692a8f296d45b251b76893c08c16	2c61e0c356257158eefdfad608a555ed9abc692a8f296d45b251b76893c08c16	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_dual_corridor_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_dual_corridor_campaign.md	TRUE	6a5fb9560a1f01cbfcb7d1da894dd6d12bc3327c	c8cbd68a0e2dd76ff0171868dbc9b9ac19567c4bbe91f3e3afc9f94863415dc7	c8cbd68a0e2dd76ff0171868dbc9b9ac19567c4bbe91f3e3afc9f94863415dc7	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_positive_j0_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_positive_j0_campaign.md	TRUE	c180465f1259852465fc73d906931051c2a14b6c	11f97bca3cf9a46c173da73edc404c99d05752d0b61ecaff6a7be4858db8667d	11f97bca3cf9a46c173da73edc404c99d05752d0b61ecaff6a7be4858db8667d	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_positive_j1_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_positive_j1_campaign.md	TRUE	cecfe2a4ca53cb516e02e60fa35d0e48321d4f93	4841a04117e3c201e8ccf6731c3d5574f8c700822d50f90e3eb595783c329a17	4841a04117e3c201e8ccf6731c3d5574f8c700822d50f90e3eb595783c329a17	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_Fprimary_minus_zero_quotient_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_Fprimary_minus_zero_quotient_campaign.md	TRUE	3b72d200acea9487a40e7a4eb39683d5c06dd6bd	986e197ac08386c288478c30b5e3a12e177c0cde4fbf1258cc9b50d1d445d5c7	986e197ac08386c288478c30b5e3a12e177c0cde4fbf1258cc9b50d1d445d5c7	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_high_phi_single_lift_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_high_phi_single_lift_campaign.md	TRUE	ac60d0cb1731863a5e7c340acfc6e6d030928c1f	c53658e9a02c2424357b1728b4726fd541e015c7c461fd173cc45ec9ce3c8aa0	c53658e9a02c2424357b1728b4726fd541e015c7c461fd173cc45ec9ce3c8aa0	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_deep_lift_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_deep_lift_campaign.md	TRUE	beb95a56650fee65600305bd7ff1caa804c08ce4	a0927ee8e2fd6963d29c730aa4584fc88514d1a58ae88b32648dad83fa532d46	a0927ee8e2fd6963d29c730aa4584fc88514d1a58ae88b32648dad83fa532d46	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_first_deep_negative_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_first_deep_negative_campaign.md	TRUE	8b03a5852ffb9c5388d4c4f07d17295d8bb45d4c	af0524c714a26613ba7e5bc6c44f268e03b319adcad02132af9cddeec788da2b	af0524c714a26613ba7e5bc6c44f268e03b319adcad02132af9cddeec788da2b	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_first_deep_positive_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_first_deep_positive_campaign.md	TRUE	c8fc56a57385c5f8023434f0df409d5af1440bfe	573acd36d02fd3a2036d7154a68cb3de38ee6b1d2689f57e3746ba5cbc5bd406	573acd36d02fd3a2036d7154a68cb3de38ee6b1d2689f57e3746ba5cbc5bd406	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_full_multiblock_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_full_multiblock_campaign.md	TRUE	e07ea3455738d580d3b49acd63c1d19fbfa588dc	0bafb0c1c7d9e807a0f6d468f90501e247e9831c63d7eb3b705804dd4fc7a4e8	0bafb0c1c7d9e807a0f6d468f90501e247e9831c63d7eb3b705804dd4fc7a4e8	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_shallow_negative_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_shallow_negative_campaign.md	TRUE	180747a35c4a43a5c218a3a5da0146dc4f3f291f	1c919cdd4348d21b29cf4ebd6849060e83921a65c4a41583a7857f26eed80161	1c919cdd4348d21b29cf4ebd6849060e83921a65c4a41583a7857f26eed80161	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_low_phi_shallow_positive_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_low_phi_shallow_positive_campaign.md	TRUE	de8bbd661aeeaef78cdacef86d0857d7c17f7df7	711f361431eb47dc0aea60a06bf31bcbc76919d20586b32bd9f8792360d1d530	711f361431eb47dc0aea60a06bf31bcbc76919d20586b32bd9f8792360d1d530	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_A2_unit_determinant_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_A2_unit_determinant_campaign.md	TRUE	23743d91812e814fdbd5c11df74b5218e5cc9f24	3cfd781c0e9273b15ce12e9e4e7505902056a4c12e2aebd5bad78725682dcc55	3cfd781c0e9273b15ce12e9e4e7505902056a4c12e2aebd5bad78725682dcc55	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_C_gamma1_unit_determinant_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_C_gamma1_unit_determinant_campaign.md	TRUE	5da8d431069209f3e669a94fb342c584534c851a	10be671d7279984326e598bfe172c851d567e995f3438dd324ed67d637f190f0	10be671d7279984326e598bfe172c851d567e995f3438dd324ed67d637f190f0	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_C2_binary_discriminant_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_C2_binary_discriminant_resolution.md	TRUE	348d881dc350e53af2a3880643dd0dd029ab91b4	bf0b54ebe1a83e891bae462995360eddc00b657fe1e7a5bff974fc594a4f1eeb	bf0b54ebe1a83e891bae462995360eddc00b657fe1e7a5bff974fc594a4f1eeb	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_C2_negative_endpoint_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_C2_negative_endpoint_resolution.md	TRUE	a4b7e1faedbc7792f21424293ef65a2a3b2462db	fe2103bfe6bb9d38ec8063e65284d2b24e600d4b4e78c4619da8980405279ce3	fe2103bfe6bb9d38ec8063e65284d2b24e600d4b4e78c4619da8980405279ce3	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_content_dichotomy_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_content_dichotomy_campaign.md	TRUE	793446626fa1570d675ed1400c78fca5800f796d	71c93457abcfe63b53c9f717247c3e113a54d92207ff4995686c12a4e7cabe39	71c93457abcfe63b53c9f717247c3e113a54d92207ff4995686c12a4e7cabe39	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_exact_divisor_states_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_exact_divisor_states_campaign.md	TRUE	a205208a27afd1ed7d7da5324abdf8c3c4c0dd9d	1077b351079b6f35408f73628bde5b07c29b43291af59d242c34476cc5ea081a	1077b351079b6f35408f73628bde5b07c29b43291af59d242c34476cc5ea081a	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_J10_boundary_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_J10_boundary_campaign.md	TRUE	d7e6a163f96b69787f37f0354bb1b61ff2a2c21a	55ac76b094088858a6b7faa520d13cbe82a7c0f39b58f6662e4842ea3bf360bc	55ac76b094088858a6b7faa520d13cbe82a7c0f39b58f6662e4842ea3bf360bc	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_J10_valuation_resolution.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_J10_valuation_resolution.md	TRUE	5a0875e935bdcaa2d46b33bfae8184a63b5ee484	575d4095f831192bcd6258bc3dc76bee3e82b7631b24d10cca34b3634e80ee5d	575d4095f831192bcd6258bc3dc76bee3e82b7631b24d10cca34b3634e80ee5d	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
research/critical/G/critical_G_primitive_core_campaign.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	docs/G/critical_G_primitive_core_campaign.md	TRUE	78a78583cbb667f2d1876aa0a66cbbda4310f5de	ae348ecc9f865989899692ed7dcee07daf731187a6b4b8b39c73dea4debd827d	ae348ecc9f865989899692ed7dcee07daf731187a6b4b8b39c73dea4debd827d	MATHEMATICAL_PROOF	critical	G	COPIED_TRACKED	Critical G-template campaign or resolution.
